iter	Passed	Remaining
413	2261	3201
414	2265	3194
415	2269	3186
416	2273	3179
417	2278	3171
418	2283	3166
419	2287	3158
420	2293	3154
421	2297	3146
422	2300	3138
423	2305	3132
424	2308	3123
425	2312	3115
426	2315	3106
427	2321	3101
428	2323	3093
429	2326	3084
430	2330	3076
431	2337	3072
432	2340	3065
433	2344	3057
434	2350	3053
435	2354	3045
436	2357	3037
437	2362	3031
438	2366	3023
439	2368	3015
440	2371	3006
441	2375	2999
442	2381	2994
443	2384	2986
444	2388	2978
445	2395	2975
446	2399	2967
447	2402	2960
448	2407	2954
449	2412	2948
450	2416	2941
451	2421	2935
452	2426	2930
453	2429	2922
454	2433	2914
455	2440	2910
456	2444	2904
457	2447	2896
458	2456	2894
459	2460	2887
460	2463	2880
461	2471	2877
462	2474	2870
463	2478	2863
464	2485	2859
465	2490	2853
466	2493	2845
467	2500	2842
468	2505	2836
469	2508	2829
470	2516	2826
471	2520	2819
472	2524	2812
473	2530	2808
474	2534	2801
475	2538	2794
476	2545	2790
477	2548	2783
478	2551	2775
479	2556	2769
480	2562	2764
481	2565	2757
482	2569	2750
483	2581	2751
484	2585	2745
485	2594	2743
486	2597	2736
487	2602	2730
488	2607	2724
489	2610	2717
490	2613	2709
491	2622	2708
492	2625	2700
493	2629	2693
494	2637	2690
495	2640	2683
496	2643	2675
497	2650	2672
498	2654	2665
499	2659	2659
500	2670	2659
501	2674	2653
502	2686	2653
503	2689	2646
504	2692	2639
505	2701	2637
506	2705	2630
507	2710	2625
508	2716	2620
509	2719	2613
510	2728	2610
511	2733	2605
512	2741	2602
513	2745	2595
514	2748	2588
515	2758	2587
516	2763	2581
517	2766	2574
518	2772	2569
519	2776	2562
520	2780	2556
521	2786	2551
522	2792	2547
523	2795	2539
524	2799	2533
525	2805	2528
526	2808	2521
527	2811	2513
528	2826	2516
529	2833	2512
530	2836	2505
531	2839	2498
532	2843	2491
533	2852	2489
534	2856	2482
535	2859	2475
536	2867	2472
537	2870	2465
538	2874	2458
539	2880	2453
540	2883	2446
541	2892	2444
542	2898	2439
543	2902	2433
544	2908	2427
545	2912	2421
546	2916	2415
547	2920	2409
548	2926	2403
549	2930	2397
550	2934	2391
551	2955	2398
552	2960	2392
553	2963	2385
554	2967	2379
555	2972	2373
556	2975	2366
557	2981	2361
558	2986	2355
559	2989	2349
560	2992	2341
561	2997	2336
562	3002	2330
563	3008	2325
564	3013	2319
565	3016	2313
566	3021	2307
567	3028	2303
568	3033	2297
569	3037	2291
570	3040	2284
571	3046	2279
572	3049	2272
573	3052	2265
574	3056	2259
575	3062	2254
576	3065	2247
577	3069	2241
578	3077	2237
579	3081	2231
580	3084	2224
581	3091	2220
582	3096	2214
583	3099	2207
584	3105	2202
585	3108	2195
586	3112	2189
587	3115	2183
588	3122	2178
589	3126	2172
590	3129	2165
591	3135	2160
592	3138	2154
593	3142	2147
594	3145	2141
595	3185	2159
596	3190	2153
597	3194	2147
598	3202	2143
599	3205	2137
600	3210	2131
601	3217	2127
602	3231	2127
603	3235	2121
604	3240	2115
605	3250	2113
606	3255	2107
607	3266	2106
608	3272	2101
609	3283	2099
610	3286	2092
611	3294	2088
612	3310	2089
613	3327	2091
614	3331	2085
615	3335	2079
616	3346	2077
617	3353	2072
618	3360	2068
619	3364	2061
620	3391	2069
621	3395	2063
622	3400	2057
623	3411	2055
624	3415	2049
625	3424	2045
626	3462	2060
627	3470	2055
628	3475	2050
629	3485	2046
630	3489	2040
631	3495	2035
632	3502	2030
633	3506	2024
634	3510	2017
635	3516	2012
636	3520	2006
637	3526	2000
638	3543	2002
639	3553	1998
640	3556	1992
641	3560	1985
642	3564	1979
643	3568	1972
644	3571	1965
645	3578	1960
646	3580	1953
647	3583	1946
648	3586	1939
649	3591	1934
650	3595	1927
651	3598	1920
652	3602	1914
653	3608	1908
654	3612	1902
655	3615	1896
656	3619	1889
657	3624	1883
658	3628	1877
659	3631	1870
660	3638	1865
661	3644	1860
662	3647	1854
663	3657	1851
664	3662	1844
665	3667	1839
666	3672	1833
667	3677	1827
668	3685	1823
669	3689	1817
670	3692	1810
671	3698	1805
672	3701	1798
673	3706	1792
674	3714	1788
675	3717	1781
676	3721	1775
677	3725	1769
678	3730	1763
679	3733	1756
680	3737	1750
681	3744	1745
682	3748	1739
683	3752	1733
684	3757	1728
685	3761	1721
686	3765	1715
687	3769	1709
688	3774	1703
689	3778	1697
690	3781	1691
691	3785	1684
692	3789	1678
693	3792	1672
694	3795	1665
695	3801	1660
696	3804	1654
697	3808	1647
698	3811	1641
699	3818	1636
700	3821	1629
701	3824	1623
702	3828	1617
703	3833	1611
704	3836	1605
705	3839	1599
706	3842	1592
707	3848	1587
708	3852	1581
709	3854	1574
710	3857	1568
711	3864	1563
712	3867	1556
713	3870	1550
714	3873	1544
715	3879	1538
716	3882	1532
717	3885	1526
718	3887	1519
719	3891	1513
720	3895	1507
721	3898	1501
722	3901	1494
723	3904	1488
724	3908	1482
725	3911	1476
726	3914	1470
727	3917	1463
728	3923	1458
729	3926	1452
730	3929	1446
731	3932	1439
732	3937	1434
733	3941	1428
734	3945	1422
735	3951	1417
736	3955	1411
737	3959	1405
738	3962	1399
739	3968	1394
740	3971	1388
741	3974	1381
742	3977	1375
743	3982	1370
744	3985	1364
745	3989	1358
746	3991	1352
747	3998	1346
748	4004	1341
749	4006	1335
750	4013	1330
751	4017	1324
752	4020	1318
753	4022	1312
754	4028	1307
755	4031	1301
756	4033	1294
757	4037	1288
758	4041	1283
759	4045	1277
760	4047	1271
761	4050	1265
762	4052	1258
763	4059	1254
764	4062	1248
765	4065	1241
766	4068	1235
767	4071	1229
768	4075	1224
769	4077	1217
770	4079	1211
771	4082	1205
772	4088	1200
773	4091	1194
774	4093	1188
775	4096	1182
776	4098	1176
777	4104	1171
778	4107	1165
779	4110	1159
780	4113	1153
781	4118	1148
782	4121	1142
783	4124	1136
784	4127	1130
785	4137	1126
786	4140	1120
787	4143	1114
788	4145	1108
789	4152	1103
790	4155	1098
791	4158	1092
792	4161	1086
793	4165	1080
794	4168	1074
795	4170	1068
796	4173	1062
797	4175	1056
798	4180	1051
799	4182	1045
800	4184	1039
801	4187	1033
802	4189	1027
803	4194	1022
804	4197	1016
805	4199	1010
806	4201	1004
807	4203	998
808	4206	993
809	4211	987
810	4214	982
811	4216	976
812	4219	970
813	4221	964
814	4228	959
815	4230	954
816	4233	948
817	4235	942
818	4242	937
819	4245	931
820	4247	926
821	4249	920
822	4252	914
823	4257	909
824	4260	903
825	4262	897
826	4265	892
827	4266	886
828	4270	880
829	4272	875
830	4274	869
831	4276	863
832	4278	857
833	4280	852
834	4283	846
835	4286	840
836	4288	835
837	4290	829
838	4293	823
839	4296	818
840	4298	812
841	4301	807
842	4303	801
843	4305	795
844	4308	790
845	4313	785
846	4315	779
847	4318	774
848	4321	768
849	4324	763
850	4327	757
851	4330	752
852	4332	746
853	4334	741
854	4336	735
855	4341	730
856	4344	724
857	4346	719
858	4349	713
859	4351	708
860	4356	703
861	4359	697
862	4362	692
863	4364	686
864	4366	681
865	4371	676
866	4374	671
867	4376	665
868	4378	660
869	4387	655
870	4390	650
871	4393	644
872	4397	639
873	4402	634
874	4405	629
875	4407	623
876	4410	618
877	4412	613
878	4417	608
879	4419	602
880	4421	597
881	4424	591
882	4427	586
883	4433	581
884	4435	576
885	4438	571
886	4442	565
887	4446	560
888	4448	555
889	4451	550
890	4453	544
891	4455	539
892	4457	534
893	4459	528
894	4462	523
895	4467	518
896	4472	513
897	4477	508
898	4480	503
899	4484	498
900	4487	493
901	4492	488
902	4496	482
903	4499	477
904	4502	472
905	4509	467
906	4513	462
907	4516	457
908	4520	452
909	4523	447
910	4527	442
911	4530	437
912	4533	432
913	4539	427
914	4543	422
915	4546	416
916	4548	411
917	4555	406
918	4558	401
919	4561	396
920	4563	391
921	4569	386
922	4572	381
923	4575	376
924	4578	371
925	4584	366
926	4587	361
927	4591	356
928	4593	351
929	4599	346
930	4603	341
931	4605	336
932	4608	330
933	4611	325
934	4616	320
935	4618	315
936	4620	310
937	4623	305
938	4627	300
939	4630	295
940	4634	290
941	4636	285
942	4639	280
943	4645	275
944	4648	270
945	4651	265
946	4654	260
947	4661	255
948	4664	250
949	4666	245
950	4669	240
951	4675	235
952	4678	230
953	4681	225
954	4685	220
955	4690	215
956	4693	210
957	4696	205
958	4699	200
959	4705	196
960	4708	191
961	4712	186
962	4715	181
963	4720	176
964	4723	171
965	4726	166
966	4729	161
967	4732	156
968	4737	151
969	4740	146
970	4742	141
971	4745	136
972	4751	131
973	4755	126
974	4757	121
975	4760	117
976	4764	112
977	4767	107
978	4770	102
979	4773	97
980	4775	92
981	4781	87
982	4784	82
983	4786	77
984	4789	72
985	4791	68
986	4796	63
987	4798	58
988	4801	53
989	4803	48
990	4805	43
991	4809	38
992	4812	33
993	4815	29
994	4817	24
995	4819	19
996	4822	14
997	4826	9
998	4832	4
999	4835	0
